"display_name","age","gender","residence","pace","official_time","overall","gender_result","division_result",seconds,"first_name","last_name"
"Ambrose Burfoot","0","M","","00:05:25","2:22:17","1","1","1",8537,"Ambrose","Burfoot"
"William Clark","0","M","","00:05:26","2:22:49","2","2","2",8569,"William","Clark"
"Alfredo Penaloza","0","M","","00:05:32","2:25:06","3","3","3",8706,"Alfredo","Penaloza"
"Pablo Garrivo Lugo","0","M","","00:05:32","2:25:07","4","4","4",8707,"Pablo Garrivo Lugo",""
"Ron Daws","0","M","","00:05:41","2:29:17","5","5","5",8957,"Ron","Daws"
"Bob Deines","0","M","","00:05:43","2:30:13","6","6","6",9013,"Bob","Deines"
"Jose Garcia Gaspar","0","M","","00:05:44","2:30:29","7","7","7",9029,"Jose Garcia Gaspar",""
"Mikko Ala-Leppilampi","0","M","","00:05:46","2:31:35","8","8","8",9095,"Mikko","Ala-Leppilampi"
"Danny McFadzean","0","M","","00:05:48","2:32:27","9","9","9",9147,"Danny","McFadzean"
"August Mulreke","0","M","","00:05:52","2:34:15","10","10","10",9255,"August","Mulreke"
"Edward Winrow","0","M","","00:05:55","2:35:12","11","11","11",9312,"Edward","Winrow"
"Bruce LaBudde","0","M","","00:05:56","2:35:47","12","12","12",9347,"Bruce","LaBudde"
"Arthur Coolidge","0","M","","00:05:59","2:37:03","13","13","13",9423,"Arthur","Coolidge"
"John Kelley","0","M","","00:05:59","2:37:03","13","13","13",9423,"John","Kelley"
"Ronald Wallingford","0","M","","00:05:59","2:37:03","13","13","13",9423,"Ronald","Wallingford"
"James Daley Jr","0","M","","00:06:01","2:38:05","16","16","16",9485,"James Daley Jr",""
"Raymond Hall","0","M","","00:06:01","2:38:09","17","17","17",9489,"Raymond","Hall"
"Morris Aarbo","0","M","","00:06:03","2:39:02","18","18","18",9542,"Morris","Aarbo"
"Jim McDonagh","0","M","","00:06:05","2:39:34","19","19","19",9574,"Jim","McDonagh"
"Jim O'Connell","0","M","","00:06:07","2:40:45","20","20","20",9645,"Jim","O'Connell"
"William Harvey","0","M","","00:06:09","2:41:41","21","21","21",9701,"William","Harvey"
"James Colvin","0","M","","00:06:10","2:42:02","22","22","22",9722,"James","Colvin"
"Thomas Osler","0","M","","00:06:11","2:42:15","23","23","23",9735,"Thomas","Osler"
"Richard Ashley","0","M","","00:06:13","2:43:14","24","24","24",9794,"Richard","Ashley"
"Ronald Gaff","0","M","","00:06:16","2:44:43","25","25","25",9883,"Ronald","Gaff"
"Carl Hereford","0","M","","00:06:16","2:44:44","26","26","26",9884,"Carl","Hereford"
"Alexander Keith","0","M","","00:06:17","2:44:45","27","27","27",9885,"Alexander","Keith"
"George Kinwear","0","M","","00:06:18","2:45:21","28","28","28",9921,"George","Kinwear"
"William Gordon","0","M","","00:06:18","2:45:29","29","29","29",9929,"William","Gordon"
"Michael Casse","0","M","","00:06:21","2:46:48","30","30","30",10008,"Michael","Casse"
"Peter Stipe","0","M","","00:06:23","2:47:34","31","31","31",10054,"Peter","Stipe"
"Terrence Gallagner","0","M","","00:06:24","2:47:56","32","32","32",10076,"Terrence","Gallagner"
"Angus Wooten","0","M","","00:06:27","2:49:08","33","33","33",10148,"Angus","Wooten"
"Paul Thompson","0","M","","00:06:28","2:49:37","34","34","34",10177,"Paul","Thompson"
"Peter Wood","0","M","","00:06:28","2:49:40","35","35","35",10180,"Peter","Wood"
"Irwin Zablocky","0","M","","00:06:28","2:49:42","36","36","36",10182,"Irwin","Zablocky"
"Neil Weygandt","0","M","","00:06:28","2:49:45","37","37","37",10185,"Neil","Weygandt"
"James Knight","0","M","","00:06:29","2:50:02","38","38","38",10202,"James","Knight"
"Lawrence Berman","0","M","","00:06:30","2:50:26","39","39","39",10226,"Lawrence","Berman"
"Terrence Cole","0","M","","00:06:30","2:50:42","40","40","40",10242,"Terrence","Cole"
"Gene Comroe","0","M","","00:06:31","2:51:09","41","41","41",10269,"Gene","Comroe"
"L H Fauber","0","M","","00:06:33","2:51:46","42","42","42",10306,"L H Fauber",""
"Ted Corbitt","0","M","","00:06:33","2:52:00","43","43","43",10320,"Ted","Corbitt"
"Sidney Adams","0","M","","00:06:35","2:52:49","44","44","44",10369,"Sidney","Adams"
"John Garlepp","0","M","","00:06:35","2:52:57","45","45","45",10377,"John","Garlepp"
"Bill Taylor","0","M","","00:06:35","2:52:58","46","46","46",10378,"Bill","Taylor"
"James Joseph","0","M","","00:06:36","2:53:04","47","47","47",10384,"James","Joseph"
"Gordon Barlow","0","M","","00:06:38","2:54:04","48","48","48",10444,"Gordon","Barlow"
"Kenneth Parker","0","M","","00:06:38","2:54:20","49","49","49",10460,"Kenneth","Parker"
